"","carrier","name"
"1","9E","Endeavor Air Inc."
"2","AA","American Airlines Inc."
"3","AS","Alaska Airlines Inc."
"4","B6","JetBlue Airways"
"5","DL","Delta Air Lines Inc."
"6","EV","ExpressJet Airlines LLC d/b/a aha!"
"7","F9","Frontier Airlines Inc."
"8","G4","Allegiant Air"
"9","HA","Hawaiian Airlines Inc."
"10","MQ","Envoy Air"
"11","NK","Spirit Air Lines"
"12","OH","PSA Airlines Inc."
"13","OO","SkyWest Airlines Inc."
"14","QX","Horizon Air"
"15","UA","United Air Lines Inc."
"16","WN","Southwest Airlines Co."
"17","YV","Mesa Airlines Inc."
"18","YX","Republic Airline"
